user_id,/,/features/mobile,/signup,/tutorial/intro,/tutorial/step-one,/tutorial/step-two,/tutorial/step-three,/tutorial/step-four,/tutorial/end,/about,/features/web,/features,/features/desktop,/pricing
1968,16,,15.0,7.0,3.0,10.0,17.0,19.0,11.0,,,,,4.0
1969,9,16.0,17.0,7.0,13.0,16.0,,,,3.0,,,,
1970,11,,,,,,,,,,,,,
1971,7,19.0,,,,,,,,,,19.0,,
1972,2,,1.0,,,,,,,,2.0,,2.0,
1973,16,,20.0,,,,,,,,,9.0,,
1974,2,,1.0,,,,,,,,,,,2.0
1975,9,,15.0,10.0,18.0,12.0,20.0,20.0,9.0,,,,12.0,14.0
1976,13,,,,,,,,,,,,,
1977,2,,,,,,,,,,2.0,1.0,,
1978,16,,12.0,13.0,2.0,13.0,10.0,8.0,14.0,,,,,
1979,14,9.0,16.0,,,,,,,,,,,
1980,11,,,,,,,,,,,,,
1981,16,,,,,,,,,,,,,
1982,3,,12.0,,,,,,,,,,,
1983,3,,19.0,14.0,14.0,,,,,,2.0,,,
1984,2,6.0,3.0,4.0,20.0,7.0,12.0,5.0,4.0,,,,,
1985,18,,14.0,18.0,10.0,,,,,,,,18.0,
1986,1,,8.0,,,,,,,,,,9.0,
1987,1,,2.0,,,,,,,,,,,
1988,15,,13.0,,,,,,,,,,,
1989,14,,8.0,12.0,3.0,20.0,7.0,14.0,13.0,,,,,
1990,2,,13.0,18.0,12.0,17.0,5.0,,,,1.0,,20.0,
1991,12,,1.0,15.0,16.0,1.0,1.0,16.0,15.0,,,18.0,,
1992,15,,8.0,9.0,4.0,,,,,,4.0,,,
1993,16,1.0,17.0,,,,,,,,2.0,,,
1994,1,2.0,20.0,11.0,19.0,1.0,7.0,4.0,,,,,10.0,
1995,2,1.0,2.0,,,,,,,,,,,
1996,7,,,,,,,,,,13.0,,,
1997,9,,20.0,13.0,1.0,20.0,7.0,,,,8.0,,18.0,
1998,9,,10.0,2.0,1.0,15.0,17.0,17.0,18.0,,,,8.0,
1999,5,,17.0,1.0,5.0,13.0,,,,,20.0,,,
2000,1,,,,,,,,,,,,,
2001,16,,14.0,,,,,,,,13.0,,,
2002,6,,6.0,6.0,9.0,4.0,14.0,15.0,1.0,,,19.0,,
2003,6,,18.0,,,,,,,,,,,
2004,14,,7.0,12.0,12.0,1.0,10.0,1.0,17.0,,,,,
2005,18,,11.0,8.0,,,,,,,,,15.0,
2006,18,,19.0,13.0,5.0,16.0,17.0,15.0,2.0,,,,8.0,8.0
2007,1,,1.0,,,,,,,,,1.0,2.0,
2008,4,,6.0,16.0,,,,,,7.0,,,,4.0
2009,10,,14.0,9.0,3.0,20.0,14.0,13.0,14.0,,,,,
2010,6,18.0,5.0,8.0,17.0,18.0,11.0,12.0,,,,12.0,,
2011,13,13.0,11.0,2.0,16.0,10.0,14.0,19.0,10.0,,,,1.0,20.0
2012,2,,15.0,,,,,,,,9.0,,,
2013,4,5.0,14.0,2.0,,,,,,,,,15.0,
2014,15,,,,,,,,,,,,,
2015,5,,19.0,1.0,7.0,20.0,9.0,16.0,2.0,,,,,
2016,1,9.0,6.0,,,,,,,,8.0,15.0,,
2017,13,,,,,,,,,,,,,
2018,1,,1.0,,,,,,,,,,,
2019,2,,1.0,,,,,,,,,2.0,,
2020,5,,15.0,16.0,,,,,,,11.0,,13.0,
2021,16,,,,,,,,,,,,,
2022,11,,4.0,18.0,,,,,,,,,,
2023,12,15.0,11.0,,,,,,,,,18.0,,
2024,20,11.0,5.0,5.0,11.0,11.0,18.0,12.0,2.0,,6.0,,,
2025,17,,5.0,,,,,,,,,,,
2026,15,5.0,2.0,4.0,15.0,8.0,3.0,17.0,1.0,,,,5.0,
2027,10,,4.0,1.0,7.0,20.0,15.0,19.0,,,1.0,,,
2028,12,5.0,11.0,7.0,5.0,4.0,12.0,13.0,3.0,,9.0,,,
2029,2,2.0,2.0,,,,,,,,,,,
2030,16,,16.0,10.0,11.0,18.0,16.0,2.0,,,9.0,,,
2031,6,,,,,,,,,,,,,
2032,19,,,,,,,,,,,,,
2033,6,,,,,,,,,,,,,
2034,5,,17.0,6.0,4.0,15.0,4.0,2.0,7.0,4.0,3.0,,,
2035,9,,4.0,20.0,19.0,1.0,6.0,12.0,,,,11.0,,
2036,20,,5.0,,,,,,,,6.0,,,
2037,5,,9.0,13.0,18.0,5.0,1.0,15.0,12.0,,20.0,,20.0,
2038,17,,17.0,19.0,18.0,,,,,,,,,
2039,17,,14.0,,,,,,,,,,,
2040,10,,4.0,10.0,13.0,18.0,19.0,11.0,,,12.0,,,
2041,17,,10.0,2.0,2.0,1.0,,,,,,,,
2042,1,,,,,,,,,,,,,
2043,4,,15.0,6.0,,,,,,,,,,
2044,4,,,,,,,,,,,,,
2045,13,10.0,2.0,19.0,13.0,13.0,,,,,8.0,,,
2046,18,10.0,6.0,5.0,11.0,,,,,,,9.0,,
2047,14,,,,,,,,,,,,,
2048,3,14.0,12.0,18.0,18.0,19.0,,,,,,,,
2049,9,,14.0,,,,,,,,,,,
2050,10,,1.0,5.0,,,,,,,,14.0,,
2051,13,9.0,10.0,5.0,13.0,1.0,20.0,6.0,,,7.0,,17.0,
2052,18,,13.0,,,,,,,,,,,
2053,19,,9.0,4.0,4.0,1.0,14.0,18.0,3.0,,8.0,,,
2054,1,,2.0,,,,,,,,,,,
2055,7,,,,,,,,,,,,,
2056,7,,7.0,10.0,15.0,11.0,,,,,,7.0,,
2057,2,,,,,,,,,,,,,
2058,11,,,,,,,,,,,14.0,,
2059,3,3.0,2.0,3.0,19.0,13.0,8.0,3.0,4.0,,,,16.0,
2060,13,7.0,6.0,2.0,1.0,2.0,10.0,18.0,18.0,,15.0,,,
2061,11,,12.0,4.0,1.0,7.0,10.0,17.0,19.0,,,,,
2062,4,,8.0,2.0,3.0,12.0,2.0,,,,,19.0,10.0,
2063,3,,,,,,,,,,,,,
2064,8,,3.0,20.0,,,,,,,6.0,,,
2065,1,1.0,6.0,8.0,9.0,,,,,,6.0,,,
2066,6,7.0,,,,,,,,,,,,
2067,1,,2.0,,,,,,,,2.0,,1.0,
2068,8,,2.0,2.0,,,,,,,,,,
2069,6,,11.0,5.0,16.0,,,,,,3.0,13.0,16.0,
2070,16,16.0,16.0,19.0,15.0,10.0,1.0,,,,,,,
2071,9,7.0,19.0,13.0,8.0,3.0,,,,,,,,
2072,1,,,,,,,,,,,,,
2073,6,,13.0,18.0,20.0,18.0,15.0,9.0,17.0,,,6.0,,
2074,8,,,,,,,,,,,,,
2075,1,,1.0,,,,,,,,2.0,,1.0,
2076,3,,,,,,,,,,,,,
2077,13,,,,,,,,,,,,,
2078,2,2.0,2.0,,,,,,,,1.0,,,
2079,2,,5.0,5.0,19.0,5.0,10.0,20.0,,,10.0,,,
2080,16,18.0,6.0,12.0,18.0,10.0,19.0,,,,,,,
2081,9,12.0,20.0,10.0,3.0,,,,,,15.0,6.0,,
2082,9,,14.0,11.0,19.0,6.0,17.0,,,,15.0,,,
2083,9,,16.0,14.0,5.0,7.0,12.0,,,,,15.0,,
2084,13,,,,,,,,,,,,,
2085,4,,6.0,,,,,,,,,,10.0,
2086,17,,4.0,17.0,9.0,8.0,18.0,,,,1.0,,4.0,
2087,15,12.0,2.0,,,,,,,,3.0,,4.0,
2088,19,,20.0,2.0,2.0,1.0,10.0,18.0,15.0,,,,6.0,
2089,6,,,,,,,,,,,,,
2090,3,,,,,,,,,,,,,
2091,1,,1.0,,,,,,,,2.0,,,
2092,10,14.0,11.0,7.0,10.0,17.0,,,,,,,,
2093,7,,,,,,,,,,,,,
2094,1,,1.0,,,,,,,,1.0,,,
2095,13,13.0,8.0,8.0,,,,,,,,,,
2096,4,10.0,8.0,5.0,,,,,,,,13.0,9.0,
2097,1,,,,,,,,,,,,,2.0
2098,17,,20.0,13.0,17.0,2.0,8.0,19.0,6.0,,4.0,,,
2099,10,,12.0,,,,,,,,4.0,15.0,,
2100,4,1.0,5.0,20.0,,,,,,,,,1.0,
2101,11,,,,,,,,,,12.0,1.0,2.0,
2102,2,,11.0,,,,,,,,,,9.0,
2103,1,,12.0,5.0,10.0,8.0,14.0,6.0,,,18.0,7.0,,
2104,14,19.0,14.0,9.0,3.0,9.0,6.0,12.0,10.0,,,,,
2105,17,,7.0,4.0,4.0,,,,,,20.0,,11.0,14.0
2106,12,12.0,1.0,5.0,14.0,18.0,1.0,7.0,9.0,,,,8.0,
2107,18,,1.0,13.0,9.0,,,,,,,,1.0,
2108,1,,10.0,,,,,,,,17.0,8.0,9.0,
2109,12,10.0,2.0,5.0,,,,,,,,,18.0,
2110,8,,14.0,20.0,18.0,14.0,13.0,14.0,16.0,,,,17.0,
2111,4,18.0,16.0,4.0,,,,,,13.0,,,,
2112,3,,,,,,,,,,,,,
2113,8,,19.0,19.0,8.0,16.0,6.0,20.0,,6.0,,,,
2114,1,,,,,,,,,,,,,
2115,2,4.0,11.0,4.0,15.0,11.0,20.0,,,,,,,
2116,1,,12.0,10.0,14.0,,,,,,11.0,2.0,10.0,
2117,13,,3.0,3.0,,,,,,,20.0,,,
2118,8,,4.0,16.0,3.0,1.0,16.0,,,,,,,
2119,12,,14.0,12.0,,,,,,,8.0,,18.0,
2120,19,18.0,1.0,5.0,10.0,15.0,15.0,4.0,1.0,,2.0,,,3.0
2121,7,,15.0,1.0,3.0,16.0,,,,,,,,11.0
2122,1,,,,,,,,,,,,,
2123,5,,,,,,,,,,,,,
2124,3,,9.0,14.0,1.0,3.0,20.0,17.0,,,,,,
2125,18,,,,,,,,,,,,18.0,
2126,18,,,,,,,,,,,,,
2127,1,,2.0,,,,,,,,1.0,2.0,2.0,
2128,9,,,,,,,,,,,,,
2129,3,,,,,,,,,,,,,
2130,20,,,,,,,,,,,,,
2131,1,,2.0,,,,,,,,1.0,,,
2132,17,,7.0,19.0,10.0,3.0,4.0,3.0,11.0,,10.0,,,15.0
2133,13,,6.0,19.0,9.0,8.0,9.0,13.0,5.0,,,,,
2134,16,,,,,,,,,,,,,
2135,12,16.0,16.0,,,,,,,,8.0,12.0,7.0,
2136,16,,14.0,10.0,,,,,,,,,10.0,
2137,16,19.0,6.0,6.0,10.0,9.0,20.0,,,,,,,
2138,6,,,,,,,,,,,,,
2139,14,,,,,,,,,,,,8.0,
2140,12,,,,,,,,,,,,,
2141,13,19.0,2.0,9.0,,,,,,,,,,
2142,5,7.0,2.0,15.0,14.0,11.0,3.0,,,,,,,1.0
2143,18,,8.0,8.0,2.0,19.0,11.0,,,,,,10.0,
2144,2,12.0,17.0,13.0,15.0,,,,,,17.0,,8.0,
2145,12,,9.0,16.0,,,,,,15.0,,,,
2146,14,,8.0,1.0,19.0,5.0,,,,,,9.0,,
2147,2,,2.0,2.0,15.0,12.0,6.0,17.0,14.0,,,14.0,,
2148,8,2.0,19.0,,,,,,,,15.0,,,
2149,2,,1.0,8.0,,,,,,,7.0,,4.0,
2150,15,,,,,,,,,,,,,
2151,1,,2.0,,,,,,,,,2.0,,
2152,2,1.0,1.0,,,,,,,,,,1.0,
2153,11,,6.0,11.0,20.0,13.0,14.0,15.0,5.0,,6.0,,4.0,
2154,3,,,,,,,,,,,,,
2155,13,9.0,,,,,,,,,,15.0,,
2156,14,,3.0,20.0,6.0,20.0,19.0,8.0,13.0,,16.0,16.0,,
2157,1,,2.0,,,,,,,,2.0,,,
2158,16,,,,,,,,,,,9.0,,
2159,14,6.0,8.0,19.0,14.0,,,,,,4.0,,,
2160,2,2.0,2.0,,,,,,,,,,1.0,2.0
2161,1,,2.0,,,,,,,,,1.0,,
2162,2,,18.0,17.0,6.0,18.0,15.0,17.0,4.0,,,,,
2163,3,4.0,8.0,2.0,18.0,,,,,,,,,
2164,18,,16.0,17.0,15.0,20.0,9.0,3.0,,,,,,
2165,2,,2.0,,,,,,,,1.0,,,
2166,7,,11.0,19.0,18.0,3.0,3.0,9.0,13.0,,7.0,,,
2167,9,13.0,20.0,13.0,,,,,,,,,,
2168,9,12.0,20.0,8.0,,,,,,,11.0,,,
2169,4,16.0,9.0,6.0,4.0,5.0,13.0,,,,,,7.0,
2170,5,,1.0,4.0,7.0,14.0,17.0,8.0,11.0,,,4.0,,
2171,19,,19.0,,,,,,,,,4.0,,
2172,1,,,,,,,,,,,,,
2173,10,,7.0,20.0,16.0,16.0,19.0,,,,,,,
2174,17,19.0,3.0,10.0,7.0,,,,,,,,,
2175,4,,14.0,3.0,2.0,13.0,18.0,9.0,20.0,,13.0,,,
2176,9,,17.0,19.0,5.0,17.0,16.0,19.0,,,,,7.0,
2177,3,,7.0,,,,,,,,2.0,,6.0,18.0
2178,10,5.0,12.0,18.0,8.0,3.0,1.0,6.0,17.0,,,3.0,18.0,
2179,17,,12.0,5.0,9.0,8.0,19.0,14.0,9.0,,,14.0,,
2180,20,,12.0,7.0,4.0,2.0,16.0,,,,,,,10.0
2181,4,18.0,11.0,16.0,18.0,5.0,10.0,8.0,2.0,,15.0,,6.0,
2182,9,16.0,17.0,8.0,18.0,13.0,15.0,13.0,,,,,,
2183,20,,20.0,,,,,,,,,,,
2184,6,,2.0,7.0,8.0,,,,,,,,,
2185,15,3.0,18.0,12.0,14.0,6.0,3.0,,,,5.0,6.0,9.0,
2186,19,,8.0,,,,,,,,18.0,,,
2187,17,,,,,,,,,,,,,
2188,8,3.0,12.0,,,,,,,,2.0,2.0,,5.0
2189,13,,5.0,1.0,14.0,,,,,,,3.0,,3.0
2190,4,18.0,2.0,18.0,16.0,5.0,,,,,,,,
2191,11,,12.0,14.0,14.0,13.0,6.0,15.0,14.0,,,,,
2192,7,,13.0,4.0,,,,,,,,,,
2193,12,,17.0,17.0,4.0,19.0,19.0,17.0,2.0,,,,9.0,
2194,19,,3.0,3.0,,,,,,,10.0,,7.0,
2195,10,,,,,,,,,,,,,
2196,11,,,,,,,,,,,,,
2197,11,,3.0,2.0,13.0,2.0,11.0,7.0,20.0,,,20.0,,
2198,7,17.0,10.0,7.0,12.0,,,,,,,,,
2199,10,,8.0,20.0,1.0,20.0,,,,,,,,
2200,12,,,,,,,,,,,,,
2201,16,,,,,,,,,,,,,
2202,17,10.0,8.0,13.0,16.0,12.0,11.0,12.0,2.0,,,,,17.0
2203,8,,,,,,,,,,,,,
2204,1,,17.0,19.0,,,,,,,,7.0,,
2205,2,2.0,13.0,,,,,,,,3.0,18.0,11.0,16.0
2206,16,,16.0,,,,,,,,,,11.0,
2207,2,,,,,,,,,,,2.0,,
2208,3,,7.0,5.0,13.0,,,,,,,,,
2209,10,,6.0,6.0,8.0,,,,,,,,,
2210,20,,12.0,2.0,7.0,2.0,9.0,19.0,,,,,,4.0
2211,1,,,,,,,,,,,,,
2212,7,,,,,,,,,,,,,
2213,6,18.0,8.0,4.0,,,,,,,19.0,16.0,,
2214,2,20.0,16.0,18.0,1.0,11.0,20.0,14.0,,,,,,
2215,18,,19.0,10.0,1.0,5.0,19.0,5.0,7.0,16.0,3.0,5.0,,6.0
2216,10,,11.0,12.0,12.0,3.0,1.0,,,,,,,
2217,8,,,,,,,,,,,,,
2218,6,,13.0,2.0,4.0,18.0,,,,,,20.0,,
2219,5,,5.0,,,,,,,,18.0,,,9.0
2220,6,,,,,,,,,,,,,
2221,4,,,,,,,,,,,,,
2222,17,,17.0,20.0,6.0,16.0,16.0,7.0,9.0,,,10.0,,
2223,4,,7.0,,,,,,,,,15.0,20.0,
2224,1,,,,,,,,,,,,,
2225,4,,11.0,7.0,,,,,,,,,12.0,
2226,2,6.0,10.0,8.0,,,,,,,14.0,19.0,8.0,
2227,12,,1.0,,,,,,,,,,,
2228,8,,,,,,,,,,,,,
2229,1,,1.0,,,,,,,,1.0,,2.0,
2230,9,,9.0,19.0,4.0,3.0,6.0,17.0,3.0,,17.0,,,
2231,1,,2.0,11.0,6.0,2.0,11.0,,,,15.0,,,12.0
2232,4,,10.0,16.0,5.0,,,,,,,7.0,11.0,
2233,1,1.0,1.0,,,,,,,,1.0,2.0,,
2234,3,,,,,,,,,,,,,
2235,9,,,,,,,,,,,,2.0,
2236,2,2.0,10.0,4.0,14.0,12.0,8.0,3.0,10.0,,10.0,,,
2237,9,,,,,,,,,,,,,
2238,2,1.0,1.0,,,,,,,,2.0,2.0,1.0,
2239,3,,,,,,,,,,8.0,,,
2240,10,,16.0,9.0,1.0,6.0,7.0,20.0,2.0,,,19.0,5.0,
2241,1,12.0,2.0,,,,,,,,,,,
2242,2,,2.0,,,,,,,,1.0,2.0,2.0,
2243,13,,6.0,4.0,2.0,14.0,11.0,8.0,16.0,,,,,
2244,4,20.0,3.0,1.0,3.0,20.0,16.0,15.0,3.0,,,,,
2245,19,14.0,15.0,11.0,5.0,,,,,,14.0,20.0,,
2246,4,,20.0,,,,,,,,,,,
2247,18,,8.0,14.0,5.0,9.0,16.0,5.0,,,,,5.0,6.0
2248,1,18.0,3.0,12.0,5.0,9.0,8.0,,,,,,,2.0
2249,9,6.0,1.0,8.0,12.0,12.0,17.0,4.0,3.0,,,,15.0,
2250,8,18.0,17.0,11.0,10.0,1.0,6.0,11.0,,,,,17.0,
2251,15,,,,,,,,,,,,,
2252,13,,,,,,,,,,,,,
2253,15,,9.0,,,,,,,,13.0,,3.0,
2254,7,8.0,20.0,2.0,13.0,4.0,7.0,19.0,10.0,,1.0,,,
2255,12,,12.0,15.0,4.0,18.0,8.0,14.0,2.0,,,5.0,17.0,
2256,2,,2.0,,,,,,,,1.0,,,
2257,11,14.0,13.0,10.0,12.0,1.0,10.0,9.0,2.0,,,,,
2258,14,,,,,,,,,,,15.0,,
2259,3,,2.0,14.0,5.0,9.0,15.0,,,,16.0,,10.0,
2260,18,20.0,11.0,7.0,,,,,,,,,,
2261,2,,,,,,,,,,,,,
2262,2,2.0,1.0,,,,,,,,,,2.0,
2263,20,,,,,,,,,,,,,
2264,13,,2.0,19.0,15.0,6.0,6.0,9.0,18.0,,,12.0,16.0,
2265,11,,10.0,9.0,2.0,5.0,1.0,12.0,11.0,,,,2.0,
2266,12,,13.0,10.0,17.0,18.0,15.0,,,,19.0,,,12.0
2267,5,8.0,20.0,12.0,,,,,,,2.0,,9.0,
2268,7,,,,,,,,,,,,,
2269,13,,12.0,,,,,,,,,20.0,,
2270,18,,2.0,14.0,9.0,7.0,14.0,20.0,,,,,,
2271,1,,2.0,,,,,,,1.0,2.0,,,
2272,3,,,,,,,,,,,,,
2273,3,,,,,,,,,,,,,
2274,1,7.0,3.0,8.0,,,,,,,,,1.0,
2275,1,,1.0,,,,,,,,1.0,,2.0,
2276,18,,,,,,,,,,,,,
2277,3,,,,,,,,,,,,,
2278,8,,11.0,,,,,,,20.0,11.0,,,
2279,4,,3.0,13.0,12.0,8.0,16.0,19.0,13.0,,,,,
2280,17,11.0,2.0,16.0,5.0,,,,,,,3.0,,10.0
2281,1,,,,,,,,,,,,,
2282,2,,14.0,3.0,19.0,8.0,,,,5.0,,,2.0,
2283,2,,1.0,,,,,,,,,,,
2284,13,8.0,12.0,3.0,10.0,16.0,6.0,12.0,,,,,,
2285,16,7.0,8.0,12.0,4.0,,,,,,,9.0,,
2286,6,,19.0,,,,,,,,20.0,,,
2287,9,7.0,7.0,20.0,15.0,11.0,4.0,,,,,4.0,,
2288,17,,16.0,7.0,17.0,8.0,15.0,15.0,14.0,,,12.0,8.0,
2289,10,,12.0,,,,,,,,3.0,6.0,13.0,3.0
2290,2,,2.0,,,,,,,,1.0,,,
2291,20,,9.0,20.0,20.0,7.0,,,,,,20.0,,
2292,2,,,,,,,,,,,,,
2293,1,,18.0,18.0,12.0,9.0,6.0,11.0,9.0,,,,2.0,18.0
2294,1,2.0,,,,,,,,,2.0,,,
2295,6,,,,,,,,,,,,,
2296,9,,11.0,8.0,1.0,8.0,17.0,11.0,10.0,,,,1.0,10.0
2297,4,,9.0,10.0,,,,,,,,,19.0,
2298,19,,,,,,,,,,14.0,,,
2299,3,,10.0,4.0,11.0,14.0,5.0,10.0,8.0,,,,,
2300,20,,13.0,10.0,5.0,12.0,,,,,,,7.0,
2301,8,6.0,1.0,9.0,6.0,,,,,,9.0,,,
2302,4,,15.0,20.0,20.0,7.0,3.0,3.0,4.0,,,,14.0,
2303,18,,,,,,,,,,,,,
2304,5,,20.0,,,,,,,,19.0,,,
2305,1,,,,,,,,,,,,,
2306,18,,,,,,,,,,,4.0,,
2307,2,,,,,,,,,,,,,
2308,12,,,,,,,,,,,,,
2309,9,12.0,11.0,16.0,14.0,8.0,6.0,12.0,8.0,,18.0,,6.0,
2310,16,,4.0,,,,,,,,,,,
2311,12,,,,,,,,,,,,,
2312,16,,,,,,,,,,,,,
2313,16,,16.0,18.0,,,,,,,,,,
2314,15,,,,,,,,,1.0,,,,
2315,3,,14.0,17.0,6.0,,,,,,,,,
2316,19,,15.0,10.0,,,,,,,,10.0,5.0,
2317,8,,9.0,3.0,,,,,,,15.0,2.0,,
2318,7,,,,,,,,,,,,,
2319,16,15.0,7.0,17.0,13.0,,,,,,,,18.0,
2320,4,,,,,,,,,,,20.0,19.0,
2321,7,,,,,,,,,,,,,
2322,9,,8.0,1.0,20.0,7.0,4.0,5.0,11.0,,,,,
2323,5,,,,,,,,,,,,,
2324,18,,,,,,,,,,,,,
2325,9,,2.0,,,,,,,,,,,
2326,13,,4.0,20.0,5.0,3.0,7.0,7.0,,,14.0,20.0,,2.0
2327,2,,1.0,,,,,,,,,,2.0,
2328,17,,9.0,2.0,11.0,4.0,3.0,8.0,6.0,,19.0,15.0,1.0,
2329,17,,,,,,,,,,,,,
2330,16,,15.0,5.0,4.0,,,,,,18.0,,,
2331,16,,13.0,19.0,4.0,11.0,9.0,7.0,9.0,,,,7.0,
2332,2,,11.0,5.0,12.0,16.0,18.0,,,,19.0,16.0,,
2333,11,,5.0,,,,,,,,15.0,,,
2334,20,5.0,12.0,18.0,16.0,8.0,19.0,6.0,6.0,,19.0,,12.0,
2335,8,,3.0,5.0,,,,,,,,,,
2336,6,,11.0,16.0,10.0,,,,,,20.0,,,
2337,14,,,,,,,,,,,,,
2338,20,,18.0,,,,,,,,2.0,,4.0,
2339,8,6.0,6.0,2.0,2.0,,,,,,,,,4.0
2340,2,,1.0,,,,,,,,,,1.0,
2341,16,1.0,4.0,17.0,13.0,,,,,,,,,
2342,8,,20.0,6.0,5.0,14.0,7.0,20.0,19.0,9.0,,,,
2343,1,,2.0,,,,,,,,,,,
2344,9,15.0,10.0,15.0,17.0,17.0,,,,,20.0,,,
2345,16,,7.0,,,,,,,,,,12.0,
2346,12,,14.0,10.0,10.0,3.0,,,,,,15.0,,
2347,12,,4.0,,,,,,,,10.0,7.0,8.0,
2348,3,,,,,,,,,,,,,
2349,6,18.0,6.0,18.0,1.0,9.0,10.0,15.0,19.0,,,17.0,,
2350,5,,15.0,,,,,,,,,15.0,8.0,
2351,20,,15.0,13.0,,,,,,,12.0,,18.0,
2352,2,,2.0,,,,,,,,1.0,,,
2353,16,18.0,2.0,7.0,16.0,,,,,7.0,,,,
2354,11,1.0,11.0,20.0,13.0,18.0,17.0,2.0,,,,2.0,,
2355,2,,,,,,,,,,2.0,,1.0,
2356,14,,,,,,,,,,,,,
2357,8,,,,,,,,,,,18.0,,
2358,8,,,,,,,,,,,,,
2359,5,,5.0,,,,,,,,,,,
2360,7,,2.0,3.0,,,,,,18.0,,,,
2361,1,,4.0,,,,,,,,10.0,6.0,12.0,
2362,14,,14.0,10.0,16.0,10.0,19.0,3.0,12.0,,,,,
2363,4,,,,,,,,,,,,9.0,
2364,15,,,,,,,,,,,,,
2365,6,,,,,,,,,,,,,
2366,7,,17.0,,,,,,,,,,,
2367,9,,17.0,,,,,,,,,,10.0,
2368,16,,15.0,20.0,,,,,,,,,,
2369,17,,2.0,3.0,9.0,11.0,6.0,7.0,4.0,,,,1.0,
2370,20,11.0,16.0,8.0,6.0,,,,,,,,15.0,
2371,6,,,,,,,,,,,,,
2372,15,,,,,,,,,,,,,
2373,19,,3.0,8.0,15.0,,,,,,,,12.0,12.0
2374,11,,,,,,,,,,,,,
2375,13,,7.0,15.0,,,,,,,,,,
2376,13,13.0,4.0,,,,,,,,,,1.0,
2377,14,,,,,,,,,,,,,
2378,14,4.0,17.0,,,,,,,,,,,15.0
2379,15,,1.0,6.0,14.0,18.0,14.0,12.0,,13.0,12.0,,,
2380,11,14.0,4.0,9.0,4.0,14.0,,,,,5.0,,,
2381,2,1.0,1.0,,,,,,,,2.0,,,
2382,19,,9.0,8.0,6.0,13.0,1.0,10.0,17.0,,18.0,3.0,,
2383,1,,1.0,,,,,,,,,,,
2384,17,9.0,6.0,,,,,,,,16.0,,,
2385,2,9.0,7.0,20.0,3.0,9.0,15.0,4.0,14.0,,10.0,,,
2386,18,,,,,,,,,,,,,
2387,1,1.0,1.0,,,,,,,,2.0,,2.0,
2388,1,,2.0,,,,,,,,2.0,,2.0,
2389,5,,,,,,,,,,,,,
2390,8,,,,,,,,,,,,,
2391,3,,5.0,8.0,12.0,,,,,,9.0,15.0,,
2392,17,,15.0,14.0,9.0,6.0,14.0,17.0,,,,,,
2393,3,,,,,,,,,,,,,
2394,11,,19.0,17.0,8.0,20.0,15.0,5.0,,,,,,
2395,5,2.0,6.0,,,,,,,,13.0,,2.0,
2396,5,,17.0,15.0,1.0,6.0,10.0,17.0,6.0,,,,2.0,
2397,19,,8.0,13.0,10.0,4.0,8.0,,,,17.0,,,
2398,1,1.0,1.0,,,,,,,,2.0,,,
2399,2,1.0,,,,,,,,,,,,2.0
2400,14,,11.0,12.0,18.0,1.0,4.0,2.0,11.0,,16.0,,,
2401,14,,,,,,,,,,,,,
2402,11,13.0,6.0,11.0,15.0,1.0,,,,,,19.0,,
2403,12,,,,,,,,,,,,,
2404,6,8.0,7.0,,,,,,,,,,13.0,
2405,4,,,,,,,,,,,,,
2406,15,,3.0,4.0,13.0,13.0,7.0,16.0,18.0,,,,,10.0
2407,1,2.0,1.0,,,,,,,,2.0,,1.0,
2408,3,,10.0,,,,,,,,4.0,1.0,18.0,
2409,19,,,,,,,,,,,,,
2410,5,,,,,,,,,,,,,
2411,2,,9.0,15.0,,,,,,,,,,
2412,18,,,,,,,,,,,,,
2413,8,,1.0,6.0,8.0,4.0,,,,,3.0,4.0,,
2414,6,,18.0,14.0,8.0,8.0,,,,,,1.0,2.0,
2415,2,,9.0,,,,,,,,11.0,,,
2416,18,,9.0,14.0,14.0,15.0,7.0,9.0,15.0,,,20.0,,19.0
2417,2,,,,,,,,,,,,,
2418,3,,19.0,13.0,20.0,14.0,8.0,7.0,20.0,,5.0,,,
2419,11,,,,,,,,,,12.0,1.0,,
2420,4,10.0,6.0,5.0,20.0,1.0,20.0,5.0,12.0,,3.0,,,18.0
2421,16,,8.0,19.0,5.0,13.0,10.0,10.0,6.0,,,,4.0,
2422,18,,,,,,,,,,,14.0,,
2423,12,,,,,,,,,4.0,,,,
2424,4,,2.0,2.0,18.0,15.0,19.0,,,,,,,
2425,1,,,,,,,,,,,,,
2426,18,,8.0,12.0,18.0,,,,,,,,,
2427,7,,20.0,15.0,13.0,12.0,17.0,18.0,13.0,,14.0,,,
2428,11,,4.0,9.0,13.0,20.0,14.0,20.0,15.0,,,,,
2429,4,,18.0,16.0,17.0,14.0,8.0,4.0,15.0,,,,9.0,
2430,6,,19.0,,,,,,,,,,,
2431,2,,,,,,,,,,,,,
2432,2,,1.0,,,,,,,,,2.0,,
2433,11,,4.0,,,,,,,,1.0,,,
2434,7,,20.0,9.0,10.0,12.0,11.0,1.0,12.0,,14.0,,,
2435,17,4.0,17.0,1.0,,,,,,,,,13.0,
2436,5,16.0,16.0,,,,,,,,2.0,,,
2437,3,5.0,1.0,5.0,1.0,,,,,,9.0,,18.0,
2438,3,,,,,,,,,,,,,
2439,2,,,,,,,,,,,,,
